,white_username,black_username,white_result,black_result
357,000sergei2,GMRATING,win,resigned
358,avto48,000sergei2,resigned,win
359,alfredtan888,000sergei2,win,abandoned
360,000sergei2,ontorog,timeout,win
361,Alex0738,000sergei2,resigned,win
362,000sergei2,katspaugh,timeout,win
363,000sergei2,max09092001,win,checkmated
364,groboudin,000sergei2,resigned,win
365,000sergei2,whp01,timeout,win
366,langdorf,000sergei2,win,timeout
367,000sergei2,anoopmourya,win,resigned
368,000sergei2,Arkow,win,checkmated
369,Anandgrover24,000sergei2,insufficient,insufficient
370,garyp1974,000sergei2,timeout,win
371,bogdanstojkovic,000sergei2,win,resigned
372,000sergei2,hanu_chess,win,checkmated
373,KQRNBPG,000sergei2,win,timeout
374,lggocesah,000sergei2,resigned,win
375,000sergei2,NinjaMycologist,timeout,win
376,mr_yudarwin,000sergei2,resigned,win
377,000sergei2,tictacGB,checkmated,win
378,000sergei2,bijupdaniel,win,resigned
379,Apophenix,000sergei2,win,checkmated
380,000sergei2,marytej,win,resigned
381,000sergei2,arjanu,win,resigned
382,vipulp13,000sergei2,win,resigned
383,000sergei2,Posttime7,win,resigned
384,mihneachirila,000sergei2,timevsinsufficient,timevsinsufficient
385,Tatoberto98,000sergei2,win,resigned
386,000sergei2,wanno3,resigned,win
387,Qq32,000sergei2,win,timeout
388,000sergei2,gergelypecz,resigned,win
389,EYNRY,000sergei2,win,resigned
390,Nolixder,000sergei2,win,resigned
391,tondon5,000sergei2,win,timeout
392,000sergei2,wildwolf2020,checkmated,win
393,000sergei2,jsan16,win,resigned
394,lullolallo,000sergei2,resigned,win
395,marc322,000sergei2,win,checkmated
396,000sergei2,paxax,win,resigned
397,000sergei2,hcooper86,win,resigned
398,hcooper86,000sergei2,win,checkmated
399,TrickyElf17726,000sergei2,win,resigned
400,000sergei2,odin_21,resigned,win
401,enciendeunaluz,000sergei2,resigned,win
402,000sergei2,ChiranjeebPal,win,resigned
403,000sergei2,alojzijetomasevic,resigned,win
404,000sergei2,efbbpr,win,resigned
405,mbbil,000sergei2,timeout,win
406,flores_dragon,000sergei2,resigned,win
407,teyobs,000sergei2,win,checkmated
408,000sergei2,vkrpan,abandoned,win
409,Crazycrayon,000sergei2,win,resigned
410,000sergei2,sanjaga1976,win,resigned
411,000sergei2,herman657,win,timeout
412,000sergei2,adt007,win,resigned
413,Letorost,000sergei2,win,resigned
414,000sergei2,Thumbquat,win,resigned
415,000sergei2,arnivinzen,win,timeout
416,vondalian,000sergei2,resigned,win
417,000sergei2,pardinyero,win,resigned
